t,x,y,r,θ
0.000,21.49,15.35,26.40,35.5
0.017,21.70,15.08,26.43,34.8
0.033,21.99,14.66,26.43,33.7
0.050,22.39,14.06,26.43,32.1
0.067,22.85,13.33,26.45,30.3
0.083,23.37,12.44,26.47,28.0
0.100,23.90,11.39,26.47,25.5
0.117,24.44,10.21,26.49,22.7
0.133,24.98,8.891,26.51,19.6
0.150,25.45,7.445,26.52,16.3
0.167,25.86,5.881,26.52,12.8
0.184,26.22,4.215,26.55,9.1
0.200,26.44,2.504,26.56,5.4
0.217,26.57,0.740,26.58,1.6
0.234,26.57,-1.026,26.59,-2.2
0.250,26.44,-2.760,26.59,-6.0
0.267,26.22,-4.450,26.60,-9.6
0.284,25.89,-6.070,26.60,-13.2
0.300,25.48,-7.586,26.59,-16.6
0.317,25.04,-8.978,26.60,-19.7
0.334,24.55,-10.26,26.61,-22.7
0.350,24.05,-11.40,26.62,-25.4
0.367,23.57,-12.39,26.63,-27.7
0.384,23.11,-13.23,26.63,-29.8
0.400,22.73,-13.90,26.64,-31.5
0.417,22.43,-14.41,26.66,-32.7
0.434,22.26,-14.72,26.68,-33.5
0.450,22.17,-14.87,26.70,-33.9
0.467,22.18,-14.88,26.71,-33.9
0.484,22.29,-14.72,26.71,-33.4
0.500,22.48,-14.38,26.69,-32.6
0.517,22.80,-13.87,26.69,-31.3
0.534,23.17,-13.22,26.67,-29.7
0.551,23.60,-12.39,26.66,-27.7
0.567,24.07,-11.43,26.65,-25.4
0.584,24.54,-10.31,26.62,-22.8
0.601,25.02,-9.062,26.61,-19.9
0.617,25.46,-7.689,26.59,-16.8
0.634,25.85,-6.208,26.59,-13.5
0.651,26.17,-4.630,26.57,-10.0
0.667,26.39,-2.998,26.56,-6.5
0.684,26.52,-1.322,26.55,-2.9
0.701,26.55,0.386,26.55,0.8
0.717,26.47,2.040,26.55,4.4
0.734,26.29,3.690,26.54,8.0
0.751,26.01,5.279,26.54,11.5
0.767,25.66,6.760,26.54,14.8
0.784,25.26,8.131,26.53,17.8
0.801,24.82,9.393,26.54,20.7
0.817,24.33,10.50,26.50,23.3
0.834,23.87,11.44,26.47,25.6
0.851,23.45,12.26,26.46,27.6
0.868,23.05,12.93,26.43,29.3
0.884,22.74,13.45,26.42,30.6
0.901,22.51,13.82,26.41,31.5
0.918,22.33,14.05,26.38,32.2
0.934,22.27,14.15,26.38,32.4
0.951,22.28,14.10,26.37,32.3
0.968,22.41,13.94,26.39,31.9
0.984,22.62,13.63,26.41,31.1
1.001,22.93,13.17,26.44,29.9
1.018,23.27,12.57,26.44,28.4
1.034,23.70,11.83,26.49,26.5
1.051,24.13,10.93,26.49,24.4
1.068,24.60,9.892,26.51,21.9
1.084,25.06,8.724,26.54,19.2
1.101,25.48,7.413,26.53,16.2
1.118,25.85,6.010,26.54,13.1
1.134,26.17,4.502,26.55,9.8
1.151,26.39,2.932,26.55,6.3
1.168,26.53,1.321,26.57,2.8
1.185,26.56,-0.314,26.56,-0.7
1.201,26.50,-1.941,26.57,-4.2
1.218,26.35,-3.534,26.58,-7.6
1.235,26.10,-5.078,26.59,-11.0
1.251,25.79,-6.519,26.60,-14.2
1.268,25.41,-7.868,26.60,-17.2
1.285,25.01,-9.103,26.61,-20.0
1.301,24.57,-10.22,26.61,-22.6
1.318,24.14,-11.21,26.62,-24.9
1.335,23.77,-12.06,26.65,-26.9
1.351,23.39,-12.74,26.63,-28.6
1.368,23.10,-13.27,26.64,-29.9
1.385,22.90,-13.65,26.66,-30.8
1.401,22.79,-13.86,26.67,-31.3
1.418,22.76,-13.91,26.68,-31.4
1.435,22.82,-13.81,26.67,-31.2
1.451,22.97,-13.54,26.66,-30.5
1.468,23.21,-13.11,26.66,-29.5
1.485,23.52,-12.54,26.66,-28.1
1.502,23.89,-11.81,26.65,-26.3
1.518,24.29,-10.93,26.63,-24.2
1.535,24.69,-9.909,26.61,-21.9
1.552,25.11,-8.775,26.60,-19.3
1.568,25.49,-7.531,26.58,-16.5
1.585,25.85,-6.181,26.58,-13.4
1.602,26.13,-4.742,26.56,-10.3
1.618,26.36,-3.248,26.56,-7.0
1.635,26.49,-1.690,26.55,-3.7
1.652,26.55,-0.117,26.55,-0.3
1.668,26.50,1.443,26.54,3.1
1.685,26.37,2.969,26.54,6.4
1.702,26.15,4.454,26.52,9.7
1.718,25.86,5.865,26.52,12.8
1.735,25.52,7.177,26.51,15.7
1.752,25.12,8.382,26.49,18.4
1.768,24.72,9.436,26.46,20.9
1.785,24.33,10.39,26.45,23.1
1.802,23.97,11.20,26.45,25.1
1.818,23.60,11.87,26.42,26.7
1.835,23.31,12.39,26.40,28.0
1.852,23.09,12.79,26.40,29.0
1.869,22.94,13.05,26.39,29.6
1.885,22.84,13.20,26.38,30.0
1.902,22.85,13.20,26.39,30.0
1.919,22.95,13.06,26.41,29.6
1.935,23.12,12.80,26.43,29.0
1.952,23.35,12.39,26.43,28.0
1.969,23.65,11.86,26.46,26.6
1.985,24.00,11.17,26.47,25.0
2.002,24.38,10.37,26.49,23.1
2.019,24.78,9.410,26.50,20.8
2.035,25.17,8.353,26.52,18.4
2.052,25.55,7.153,26.53,15.6
2.069,25.89,5.859,26.54,12.8
2.085,26.17,4.473,26.55,9.7
2.102,26.37,3.038,26.54,6.6
2.119,26.51,1.547,26.55,3.3
2.135,26.56,3.173E-2,26.56,0.1
2.152,26.52,-1.480,26.56,-3.2
2.169,26.40,-2.961,26.56,-6.4
2.186,26.21,-4.406,26.58,-9.5
2.202,25.94,-5.768,26.58,-12.5
2.219,25.64,-7.049,26.59,-15.4
2.236,25.28,-8.216,26.58,-18.0
2.252,24.92,-9.291,26.60,-20.4
2.269,24.55,-10.23,26.59,-22.6
2.286,24.20,-11.05,26.60,-24.5
2.302,23.90,-11.71,26.61,-26.1
2.319,23.65,-12.24,26.63,-27.4
2.336,23.44,-12.63,26.63,-28.3
2.352,23.33,-12.85,26.64,-28.8
2.369,23.31,-12.92,26.65,-29.0
2.386,23.33,-12.85,26.63,-28.8
2.402,23.48,-12.60,26.65,-28.2
2.419,23.67,-12.23,26.64,-27.3
2.436,23.93,-11.70,26.64,-26.0
