m = 72.36
t,x,y,r,θ
0.000,15.59,21.57,26.62,54.2
0.017,16.01,21.19,26.56,52.9
0.033,16.54,20.82,26.59,51.5
0.050,17.40,20.23,26.68,49.3
0.067,18.41,19.47,26.80,46.6
0.083,19.51,18.39,26.81,43.3
0.100,20.66,17.12,26.83,39.6
0.117,21.83,15.63,26.85,35.6
0.133,23.00,13.88,26.87,31.1
0.150,24.10,11.94,26.90,26.4
0.167,25.08,9.794,26.93,21.3
0.184,25.90,7.457,26.95,16.1
0.200,26.53,4.973,27.00,10.6
0.217,26.93,2.384,27.04,5.1
0.234,27.07,-0.264,27.07,-0.6
0.250,26.95,-2.915,27.10,-6.2
0.267,26.57,-5.508,27.14,-11.7
0.284,25.99,-8.006,27.19,-17.1
0.300,25.18,-10.35,27.23,-22.4
0.317,24.24,-12.54,27.29,-27.4
0.334,23.19,-14.53,27.37,-32.1
0.350,22.08,-16.35,27.47,-36.5
0.367,20.96,-17.93,27.58,-40.5
0.384,19.87,-19.29,27.70,-44.1
0.400,18.88,-20.42,27.81,-47.2
0.417,18.02,-21.38,27.96,-49.9
0.434,17.33,-22.11,28.09,-51.9
0.450,16.79,-22.62,28.17,-53.4
0.467,16.44,-22.97,28.25,-54.4
0.484,16.27,-23.08,28.24,-54.8
0.500,16.24,-23.07,28.21,-54.8
0.517,16.44,-22.90,28.20,-54.3
0.534,16.88,-22.56,28.18,-53.2
0.551,17.52,-22.01,28.13,-51.5
0.567,18.34,-21.30,28.11,-49.3
0.584,19.29,-20.35,28.04,-46.5
0.601,20.33,-19.18,27.95,-43.3
0.617,21.46,-17.76,27.85,-39.6
0.634,22.58,-16.16,27.77,-35.6
0.651,23.68,-14.32,27.68,-31.2
0.667,24.71,-12.29,27.60,-26.4
0.684,25.62,-10.06,27.52,-21.4
0.701,26.35,-7.668,27.44,-16.2
0.717,26.87,-5.160,27.36,-10.9
0.734,27.16,-2.578,27.28,-5.4
0.751,27.20,2.150E-2,27.20,0.0
0.767,27.00,2.595,27.13,5.5
0.784,26.56,5.106,27.05,10.9
0.801,25.92,7.490,26.98,16.1
0.817,25.12,9.673,26.91,21.1
0.834,24.16,11.70,26.84,25.8
0.851,23.12,13.49,26.77,30.3
0.868,22.05,15.11,26.73,34.4
0.884,20.96,16.50,26.67,38.2
0.901,19.91,17.67,26.62,41.6
0.918,18.95,18.63,26.58,44.5
0.934,18.11,19.40,26.54,47.0
0.951,17.43,20.00,26.52,48.9
0.968,16.89,20.40,26.48,50.4
0.984,16.56,20.65,26.47,51.3
1.001,16.39,20.76,26.45,51.7
1.018,16.44,20.71,26.44,51.6
1.034,16.69,20.53,26.46,50.9
1.051,17.13,20.19,26.48,49.7
1.068,17.76,19.68,26.51,47.9
1.084,18.53,18.98,26.53,45.7
1.101,19.44,18.12,26.57,43.0
1.118,20.45,17.03,26.61,39.8
1.134,21.52,15.72,26.65,36.1
1.151,22.62,14.20,26.71,32.1
1.168,23.69,12.46,26.76,27.7
1.185,24.66,10.53,26.82,23.1
1.201,25.53,8.403,26.88,18.2
1.218,26.26,6.110,26.96,13.1
1.235,26.78,3.685,27.03,7.8
1.251,27.09,1.168,27.12,2.5
1.268,27.16,-1.404,27.19,-3.0
1.285,26.99,-3.961,27.28,-8.3
1.301,26.58,-6.452,27.35,-13.6
1.318,25.96,-8.849,27.43,-18.8
1.335,25.18,-11.11,27.52,-23.8
1.351,24.27,-13.21,27.63,-28.6
1.368,23.23,-15.11,27.71,-33.0
1.385,22.16,-16.77,27.79,-37.1
1.401,21.10,-18.18,27.85,-40.7
1.418,20.07,-19.44,27.95,-44.1
1.435,19.12,-20.50,28.03,-47.0
1.451,18.28,-21.36,28.12,-49.4
1.468,17.59,-22.05,28.21,-51.4
1.485,17.08,-22.54,28.29,-52.8
